INFORMED,SOURCES,DEHUMAN,ROBOREPLACE,SOLVE_MANY,TIME_EFFICIENT,SOLVE_EFFICIENT,VOTE_IMPACT,ETHICAL_CONCERN,AI_FEEL,MAIN_NEWS,GENDER,YEAR_OF_STUDY,AREA_OF_STUDY,other,GPA,AGE,SURVYEAR
7,"1,3,4",4,4,4,4,4,4,5,2,5,2,4,3,,8,3,2026
5,"1,4",5,4,3,4,2,3,5,2,2,1,3,3,,8,3,2026
10,"1,3",2,2,4,4,3,3,3,1,15,1,4,3,,8,4,2026
9,"1,3,4",2,4,4,4,2,2,4,1,11,2,4,3,,8,4,2026
6,"1,2,3,4,5",3,3,3,3,3,3,2,3,12,2,2,7,,7,3,2026
5,"1,2,4",3,3,4,5,4,2,3,1,3,1,1,1,,7,2,2026
7,"1,2",2,4,4,3,4,5,3,1,16,2,4,3,,8,4,2026
10,1,3,3,3,3,3,3,3,2,2,1,1,4,,7,3,2026
5,"1,3,4",3,4,4,4,4,4,4,1,15,1,1,5,,8,3,2026
10,"1,2,3,4",3,3,4,5,2,3,2,1,12,2,1,4,,8,2,2026
4,"1,3,4",3,3,4,2,3,3,4,1,15,2,1,1,,8,2,2026
7,"1,3,4",2,2,2,2,2,2,4,1,15,1,1,1,,9,3,2026
7,"1,2,3,4",4,4,5,5,3,3,5,1,10,1,1,12,Engineering,8,3,2026
6,"1,3,4,5",3,5,4,4,4,3,4,3,12,1,1,12,Biology ,7,3,2026
10,1,1,5,5,5,4,3,1,2,7,1,1,5,,9,2,2026
10,2,5,4,2,3,1,3,3,1,16,2,1,2,,7,4,2026
8,"1,3",5,1,3,3,4,2,1,2,3,1,1,2,,8,2,2026
3,"1,4",2,2,5,5,5,3,5,1,16,2,1,5,,6,9,2026
5,"1,2,3",2,4,5,4,3,5,4,1,12,2,1,1,,7,4,2026
7,"1,3,4",4,2,5,4,2,5,4,1,2,1,1,5,,8,4,2026
8,"1,3,4",4,3,4,5,3,4,4,3,12,1,3,12,Environmental science ,7,4,2026
6,1,4,4,4,4,4,4,4,1,11,2,,5,,7,8,2026
9,3,2,4,4,5,3,3,5,1,5,2,,5,,7,8,2026
6,"1,3,4",3,5,5,5,3,4,4,1,3,2,,11,,8,9,2026
6,"1,3,4",4,4,5,4,4,3,4,4,11,2,,5,,7,5,2026
5,1,5,2,4,4,3,1,5,1,16,2,,10,,8,9,2026
7,"1,3,4",4,4,5,5,3,3,4,1,3,2,,2,,8,7,2026
7,"1,3,4",2,4,1,1,3,1,5,1,6,2,,1,,9,9,2026
6,"1,3,4",3,3,4,4,3,3,2,3,16,1,1,5,,8,3,2026
7,"1,2",5,5,4,4,3,5,5,2,16,2,,1,,8,8,2026
9,"1,3,4",3,2,4,5,3,4,5,1,4,2,,5,,7,8,2026
9,"1,3,4",3,3,4,4,4,4,4,3,11,2,,5,,8,8,2026
6,"1,3",4,4,1,1,1,3,5,2,3,1,,11,,7,3,2026
10,"1,3,4",2,3,4,4,4,1,4,1,2,2,1,5,,8,2,2026
5,"1,3,4",4,5,3,3,2,3,5,2,3,1,1,2,,9,3,2026
10,1,3,4,5,5,5,5,5,4,15,1,3,4,,7,3,2026
10,"1,2",4,4,4,4,1,1,5,1,16,1,,10,,9,9,2026
5,"1,3,4",4,4,3,5,3,3,5,2,12,1,1,4,,6,2,2026
10,"1,3",5,4,2,1,1,5,5,2,2,1,2,12,Psychology ,8,3,2026
