INFORMED,SOURCES,DEHUMAN,ROBOREPLACE,SOLVE_MANY,TIME_EFFICIENT,SOLVE_EFFICIENT,VOTE_IMPACT,ETHICAL_CONCERN,AI_FEEL,MAIN_NEWS,GENDER,YEAR_OF_STUDY,AREA_OF_STUDY,other,GPA,SURVYEAR
7,"1,3,4",4,4,4,4,4,4,5,2,5,2,4,3,,8,2026
5,"1,4",5,4,3,4,2,3,5,2,2,1,3,3,,8,2026
10,"1,3",2,2,4,4,3,3,3,1,15,1,4,3,,8,2026
9,"1,3,4",2,4,4,4,2,2,4,1,11,2,4,3,,8,2026
6,"1,2,3,4,5",3,3,3,3,3,3,2,3,12,2,2,7,,7,2026
5,"1,2,4",3,3,4,5,4,2,3,1,3,1,1,1,,7,2026
7,"1,2",2,4,4,3,4,5,3,1,16,2,4,3,,8,2026
10,1,3,3,3,3,3,3,3,2,2,1,1,4,,7,2026
5,"1,3,4",3,4,4,4,4,4,4,1,15,1,1,5,,8,2026
10,"1,2,3,4",3,3,4,5,2,3,2,1,12,2,1,4,,8,2026
4,"1,3,4",3,3,4,2,3,3,4,1,15,2,1,1,,8,2026
7,"1,3,4",2,2,2,2,2,2,4,1,15,1,1,1,,9,2026
7,"1,2,3,4",4,4,5,5,3,3,5,1,10,1,1,12,Engineering,8,2026
6,"1,3,4,5",3,5,4,4,4,3,4,3,12,1,1,12,Biology ,7,2026
10,1,1,5,5,5,4,3,1,2,7,1,1,5,,9,2026
10,2,5,4,2,3,1,3,3,1,16,2,1,2,,7,2026
8,"1,3",5,1,3,3,4,2,1,2,3,1,1,2,,8,2026
3,"1,4",2,2,5,5,5,3,5,1,16,2,1,5,,6,2026
5,"1,2,3",2,4,5,4,3,5,4,1,12,2,1,1,,7,2026
7,"1,3,4",4,2,5,4,2,5,4,1,2,1,1,5,,8,2026
8,"1,3,4",4,3,4,5,3,4,4,3,12,1,3,12,Environmental science ,7,2026
6,1,4,4,4,4,4,4,4,1,11,2,,5,,7,2026
9,3,2,4,4,5,3,3,5,1,5,2,,5,,7,2026
6,"1,3,4",3,5,5,5,3,4,4,1,3,2,,11,,8,2026
6,"1,3,4",4,4,5,4,4,3,4,4,11,2,,5,,7,2026
5,1,5,2,4,4,3,1,5,1,16,2,,10,,8,2026
7,"1,3,4",4,4,5,5,3,3,4,1,3,2,,2,,8,2026
7,"1,3,4",2,4,1,1,3,1,5,1,6,2,,1,,9,2026
6,"1,3,4",3,3,4,4,3,3,2,3,16,1,1,5,,8,2026
7,"1,2",5,5,4,4,3,5,5,2,16,2,,1,,8,2026
9,"1,3,4",3,2,4,5,3,4,5,1,4,2,,5,,7,2026
9,"1,3,4",3,3,4,4,4,4,4,3,11,2,,5,,8,2026
6,"1,3",4,4,1,1,1,3,5,2,3,1,,11,,7,2026
10,"1,3,4",2,3,4,4,4,1,4,1,2,2,1,5,,8,2026
5,"1,3,4",4,5,3,3,2,3,5,2,3,1,1,2,,9,2026
10,1,3,4,5,5,5,5,5,4,15,1,3,4,,7,2026
10,"1,2",4,4,4,4,1,1,5,1,16,1,,10,,9,2026
5,"1,3,4",4,4,3,5,3,3,5,2,12,1,1,4,,6,2026
10,"1,3",5,4,2,1,1,5,5,2,2,1,2,12,Psychology ,8,2026
6,3,3,3,4,3,3,2,3,1,12,2,1,9,,7,2026
6,2,2,4,3,2,2,1,3,3,15,2,2,1,,8,2026
6,"1,3,4",4,5,5,5,4,4,5,3,15,1,1,1,,8,2026
8,"1,3,4",4,4,4,4,4,4,3,1,16,1,1,9,,6,2026
5,"1,3,4",2,4,3,3,2,3,3,2,16,1,,8,,9,2026
10,"1,3",5,4,4,4,4,3,4,1,2,1,1,12,Environmental and Ocean Sciences,8,2026
5,3,3,4,5,3,3,2,2,1,15,1,1,12,Nursing ,8,2026
6,"1,3,4",4,5,3,4,3,4,4,2,8,1,1,12,neuroscience,8,2026
8,"1,2,3,4",4,2,5,2,3,4,3,1,2,1,1,4,,9,2026
5,"1,3",4,4,3,4,2,3,4,,8,1,2,5,,7,2026
9,"1,2,3,4",1,1,3,3,2,2,2,2,3,1,1,12,Biology ,8,2026
10,"1,2,3,4",4,5,4,4,4,5,4,2,2,1,3,12,phil psych,8,2026
7,"1,2,3,4",3,2,2,3,3,3,3,3,16,1,1,12,,9,2026
8,"1,2,3,4",4,4,5,5,2,1,4,3,2,2,4,12,Management Information Systems,8,2026
7,"1,3,4",4,5,3,4,4,5,3,3,15,1,2,1,,8,2026
7,"1,3,4",3,4,5,4,4,4,3,1,2,1,4,12,psychology ,8,2026
10,1,4,4,4,4,3,5,5,2,2,1,1,12,Engineering,8,2026
8,"1,3,4",4,4,3,5,2,3,3,2,15,1,1,12,Nursing ,7,2026
7,"1,3",4,4,3,4,2,3,4,2,8,1,1,12,Psychology,8,2026
7,"1,2,3,4",4,4,2,3,3,4,4,2,3,1,1,,psychology,9,2026
6,"1,4",4,4,3,4,4,4,5,1,1,1,,10,,8,2026
6,"1,3",4,2,3,3,3,1,3,2,2,1,1,2,,8,2026
5,"1,3",4,4,3,2,2,3,4,2,2,1,3,12,Biochemistry,8,2026
7,"1,3",4,5,4,4,4,3,2,2,15,1,2,12,Construction Management,8,2026
6,"3,4",2,4,5,5,4,4,4,2,3,1,1,12,Neuroscience ,8,2026
5,"2,3",1,1,4,3,3,3,5,3,12,2,2,5,,8,2026
8,2,2,2,2,1,3,5,5,3,12,2,3,1,,7,2026
3,3,1,3,2,1,2,2,1,3,15,2,2,12,Engineering,7,2026
10,"1,3,4",2,2,4,5,4,4,4,1,15,1,3,11,,7,2026
2,"2,3",2,3,2,1,1,4,4,3,9,2,3,12,Eco,7,2026
3,2,2,1,3,3,2,1,1,3,2,2,4,5,,8,2026
7,"1,2,3,4,5",3,2,3,2,1,1,3,1,12,2,4,1,,7,2026
10,"1,3,4",5,5,5,5,5,5,5,1,12,1,4,1,,8,2026
10,"1,2,3,4",5,4,4,4,4,4,5,1,12,1,,5,,8,2026
2,1,3,2,5,4,2,1,1,1,12,2,1,1,,8,2026
10,"1,3,4",3,4,4,4,4,4,5,3,5,2,,5,,8,2026
9,"1,3",4,4,4,4,4,4,5,3,5,2,,7,,7,2026
6,2,2,2,4,4,3,2,2,3,15,2,2,1,,7,2026
9,"2,3",3,4,2,3,2,3,4,1,15,2,1,5,,9,2026
6,"1,3",2,3,1,2,5,4,2,3,12,2,2,5,,7,2026
3,"1,3,4",4,2,5,5,2,3,4,2,2,1,1,12,Neuroscience,8,2026
9,"1,2,3,4",3,3,3,3,2,4,5,3,16,1,2,9,,8,2026
8,"1,2,3",4,4,5,5,5,3,4,1,16,1,4,12,Mathematical Engineering,8,2026
9,"1,3,4",4,5,4,3,3,2,4,2,12,2,1,1,,7,2026
5,3,3,3,3,3,3,3,3,2,12,1,1,10,,8,2026
8,"1,3",4,1,4,5,1,4,5,3,3,1,2,12,Environment and Ocean Sciences ,7,2026
6,"1,4",2,1,4,5,4,4,4,1,2,1,1,5,,8,2026
5,"1,3,4",3,2,4,4,1,4,4,2,2,1,1,9,,6,2026
5,"1,4",5,5,5,4,2,4,5,2,2,1,1,4,,8,2026
9,1,5,5,5,5,5,5,5,3,1,2,4,9,,8,2026
7,2,3,2,3,3,4,3,3,2,2,1,,1,,6,2026
8,1,4,4,4,3,4,3,2,2,3,1,3,1,,8,2026
8,1,5,5,3,4,4,4,4,2,2,2,2,1,,9,2026
4,1,2,3,5,5,4,4,4,2,15,2,1,4,,8,2026
10,"1,2,3,4",5,5,1,1,1,3,5,2,3,1,1,12,Psychologically ,7,2026
10,"1,2,3,4",2,2,3,3,3,4,3,2,15,1,5,12,Physical Therapy ,8,2026
8,"1,2,3,4",5,5,1,1,1,5,5,2,16,6,1,12,Political Science,7,2026
6,"1,3,4",2,2,4,4,3,3,1,1,5,2,,12,Political Science ,6,2026
8,"3,4",4,4,4,5,4,4,3,2,15,1,1,4,,6,2026
7,"1,2,3,4",4,2,4,4,2,5,4,1,15,1,1,12,Psychology,8,2026
9,"1,3,4",4,5,5,5,5,5,3,1,5,1,1,5,,9,2026
10,"1,2,3,4",3,3,3,3,3,3,3,4,2,2,,5,,9,2026
7,"1,2,3,4",5,5,4,2,2,3,5,2,2,1,1,12,neuroscience ,6,2026
4,"1,4",5,4,3,3,2,4,5,2,2,1,1,9,,8,2026
5,"1,2,4",5,4,2,3,3,4,5,3,5,1,1,12,,7,2026
5,"1,3",5,4,4,4,2,4,5,2,2,1,1,2,,7,2026
6,"1,3",3,4,2,3,2,4,3,1,15,1,1,12,Sociology,6,2026
8,"2,3",2,4,1,3,4,1,4,2,2,1,1,1,,8,2026
7,"1,2,3,4",5,5,1,1,1,5,5,2,16,1,,1,,7,2026
7,"1,2,3,4",4,4,4,4,4,4,5,2,16,1,1,12,Biology ,5,2026
5,1,2,4,4,4,2,4,3,1,2,2,1,12,Engendering ,6,2026
6,"1,4",3,4,3,3,3,1,4,1,2,1,1,9,,7,2026
7,"1,3",4,4,3,3,3,4,3,3,3,1,2,12,social work,7,2026
8,"1,2,3,4",4,5,3,1,1,5,5,2,15,1,,9,,7,2026
6,"1,3,4",5,4,2,1,1,5,4,2,12,1,,1,,6,2026
