BOTSOURCE,SURVYEAR
2,2024
1,2024
1,2024
1,2024
1,2024
1,2024
1,2024
2,2024
2,2024
3,2024
2,2024
1,2024
1,2024
1,2024
1,2024
1,2024
0,2024
4,2024
0,2024
7,2024
7,2024
1,2024
1,2024
1,2024
1,2024
3,2024
1,2024
1,2024
3,2024
1,2024
1,2024
1,2024
2,2024
2,2024
0,2024
0,2024
2,2024
1,2024
1,2024
1,2024
2,2024
1,2024
1,2024
0,2024
1,2024
1,2024
1,2024
0,2024
0,2024
1,2024
0,2024
1,2024
0,2024
1,2024
1,2024
3,2024
1,2024
0,2024
1,2024
0,2024
0,2024
1,2024
1,2024
1,2024
0,2024
3,2024
5,2024
1,2024
1,2024
0,2024
1,2024
2,2024
0,2024
7,2024
1,2024
7,2024
2,2024
1,2024
1,2024
1,2024
1,2024
1,2024
1,2024
1,2024
1,2024
1,2024
1,2024
7,2024
1,2024
1,2024
0,2024
1,2024
0,2024
1,2024
1,2024
7,2024
1,2024
1,2024
1,2024
1,2024
1,2024
1,2024
1,2024
0,2024
1,2024
5,2024
1,2024
5,2024
1,2024
0,2024
4,2024
0,2024
0,2024
0,2024
0,2024
5,2024
1,2024
0,2024
5,2024
0,2024
0,2024
3,2024
0,2024
1,2024
2,2024
1,2024
0,2024
1,2024
0,2024
1,2024
4,2024
0,2024
0,2024
1,2024
1,2024
1,2024
0,2024
3,2024
1,2024
1,2024
1,2024
0,2024
1,2024
1,2024
5,2024
3,2024
2,2024
1,2024
2,2024
1,2024
4,2024
3,2024
2,2024
2,2024
1,2024
1,2024
2,2024
1,2024
1,2024
1,2024
2,2024
5,2024
1,2024
1,2024
1,2024
1,2024
1,2024
1,2024
1,2024
7,2024
1,2024
1,2024
1,2024
2,2024
1,2024
1,2024
2,2024
1,2024
7,2024
1,2024
1,2024
3,2024
1,2024
7,2024
1,2024
1,2024
7,2024
7,2024
1,2024
1,2024
3,2024
1,2024
1,2024
2,2024
2,2024
4,2024
7,2024
1,2024
3,2024
0,2024
1,2024
1,2024
1,2024
1,2024
1,2024
1,2024
1,2024
1,2024
1,2024
2,2024
4,2024
1,2024
0,2024
1,2024
1,2024
2,2024
2,2024
2,2024
1,2024
3,2024
1,2024
1,2024
1,2024
0,2024
1,2024
2,2024
1,2024
1,2024
1,2024
0,2024
1,2024
1,2024
1,2024
