source,SURVYEAR
3,2026
3,2026
4,2026
3,2026
3,2026
3,2026
4,2026
3,2026
4,2026
3,2026
4,2026
5,2026
3,2026
4,2026
3,2026
1,2026
4,2026
5,2026
4,2026
5,2026
4,2026
5,2026
5,2026
5,2026
5,2026
5,2026
5,2026
5,2026
4,2026
5,2026
4,2026
4,2026
3,2026
3,2026
3,2026
5,2026
3,2026
5,2026
2,2026
4,2026
3,2026
5,2026
4,2026
3,2026
4,2026
5,2026
5,2026
3,2026
4,2026
1,2026
3,2026
2,2026
5,2026
4,2026
2,2026
5,2026
5,2026
3,2026
4,2026
2,2026
4,2026
4,2026
5,2026
3,2026
4,2026
3,2026
2,2026
5,2026
4,2026
2,2026
3,2026
5,2026
5,2026
3,2026
5,2026
5,2026
3,2026
4,2026
2,2026
4,2026
3,2026
5,2026
4,2026
3,2026
4,2026
3,2026
2,2026
4,2026
5,2026
3,2026
2,2026
2,2026
3,2026
1,2026
3,2026
1,2026
5,2026
4,2026
5,2026
3,2026
3,2026
3,2026
2,2026
3,2026
3,2026
4,2026
2,2026
1,2026
2,2026
4,2026
3,2026
3,2026
1,2026
4,2026
2,2026
2,2026
4,2026
5,2026
5,2026
3,2026
3,2026
5,2026
2,2026
4,2026
1,2026
4,2026
4,2026
4,2026
3,2026
5,2026
3,2026
2,2026
2,2026
4,2026
3,2026
2,2026
2,2026
3,2026
2,2026
4,2026
4,2026
4,2026
5,2026
3,2026
4,2026
4,2026
5,2026
2,2026
3,2026
5,2026
4,2026
1,2026
4,2026
5,2026
4,2026
5,2026
5,2026
3,2026
2,2026
2,2026
5,2026
1,2026
3,2026
5,2026
1,2026
1,2026
3,2026
4,2026
5,2026
3,2026
4,2026
4,2026
2,2026
4,2026
5,2026
4,2026
4,2026
5,2026
2,2026
2,2026
2,2026
3,2026
3,2026
1,2026
2,2026
5,2026
4,2026
3,2026
4,2026
4,2026
3,2026
5,2026
4,2026
3,2026
3,2026
1,2026
1,2026
1,2026
1,2026
4,2026
2,2026
1,2026
1,2026
5,2026
4,2026
2,2026
2,2026
4,2026
3,2026
2,2026
3,2026
3,2026
3,2026
3,2026
2,2024
1,2024
1,2024
1,2024
1,2024
1,2024
1,2024
2,2024
2,2024
3,2024
2,2024
1,2024
1,2024
1,2024
1,2024
1,2024
0,2024
4,2024
0,2024
7,2024
7,2024
1,2024
1,2024
1,2024
1,2024
3,2024
1,2024
1,2024
3,2024
1,2024
1,2024
1,2024
2,2024
2,2024
0,2024
0,2024
2,2024
1,2024
1,2024
1,2024
2,2024
1,2024
1,2024
0,2024
1,2024
1,2024
1,2024
0,2024
0,2024
1,2024
0,2024
1,2024
0,2024
1,2024
1,2024
3,2024
1,2024
0,2024
1,2024
0,2024
0,2024
1,2024
1,2024
1,2024
0,2024
3,2024
5,2024
1,2024
1,2024
0,2024
1,2024
2,2024
0,2024
7,2024
1,2024
7,2024
2,2024
1,2024
1,2024
1,2024
1,2024
1,2024
1,2024
1,2024
1,2024
1,2024
1,2024
7,2024
1,2024
1,2024
0,2024
1,2024
0,2024
1,2024
1,2024
7,2024
1,2024
1,2024
1,2024
1,2024
1,2024
1,2024
1,2024
0,2024
1,2024
5,2024
1,2024
5,2024
1,2024
0,2024
4,2024
0,2024
0,2024
0,2024
0,2024
5,2024
1,2024
0,2024
5,2024
0,2024
0,2024
3,2024
0,2024
1,2024
2,2024
1,2024
0,2024
1,2024
0,2024
1,2024
4,2024
0,2024
0,2024
1,2024
1,2024
1,2024
0,2024
3,2024
1,2024
1,2024
1,2024
0,2024
1,2024
1,2024
5,2024
3,2024
2,2024
1,2024
2,2024
1,2024
4,2024
3,2024
2,2024
2,2024
1,2024
1,2024
2,2024
1,2024
1,2024
1,2024
2,2024
5,2024
1,2024
1,2024
1,2024
1,2024
1,2024
1,2024
1,2024
7,2024
1,2024
1,2024
1,2024
2,2024
1,2024
1,2024
2,2024
1,2024
7,2024
1,2024
1,2024
3,2024
1,2024
7,2024
1,2024
1,2024
7,2024
7,2024
1,2024
1,2024
3,2024
1,2024
1,2024
2,2024
2,2024
4,2024
7,2024
1,2024
3,2024
0,2024
1,2024
1,2024
1,2024
1,2024
1,2024
1,2024
1,2024
1,2024
1,2024
2,2024
4,2024
1,2024
0,2024
1,2024
1,2024
2,2024
2,2024
2,2024
1,2024
3,2024
1,2024
1,2024
1,2024
0,2024
1,2024
2,2024
1,2024
1,2024
1,2024
0,2024
1,2024
1,2024
1,2024
